name,address,deliveryZoneName
KIELSA 001 , KIELSA YORO MONTECRISTO,NORTE - YORO
KIELSA 002 , KIELSA SPS PAZ BARAHONA,NORTE - SAN PEDRO SULA
KIELSA 003 , KIELSA SPS LOS ANDES,NORTE - SAN PEDRO SULA
KIELSA 004 , KIELSA LA CEIBA CENTRO,NORTE - LA CEIBA
KIELSA 005 , KIELSA LA CEIBA SAN ISIDRO,NORTE - LA CEIBA
KIELSA 006 , KIELSA TGU PAIZ MULTIPLAZA,CENTRO - TEGUCIGALPA
KIELSA 007 , KIELSA TGU PAIZ MIRAFLORES,CENTRO - TEGUCIGALPA
KIELSA 008 , KIELSA SPS CEMESA,NORTE - SAN PEDRO SULA
KIELSA 009 , KIELSA TOCOA PLAZA CITY PLACE,NORTE - TOCOA
KIELSA 010 , KIELSA LA CEIBA MEGAPLAZA,NORTE - LA CEIBA
KIELSA 011 , KIELSA COMAYAGUA METROPLAZA,CENTRO - COMAYAGUA
KIELSA 012 , KIELSA SPS MAXI PALMAS,NORTE - SAN PEDRO SULA
KIELSA 013 , KIELSA LA CEIBA DANTONY,NORTE - LA CEIBA
KIELSA 014 , KIELSA SPS MAXI S. LA LIMA,NORTE - SAN PEDRO SULA
KIELSA 015 , KIELSA TGU MULTIPLAZA NIVEL I,CENTRO - TEGUCIGALPA
KIELSA 016 , KIELSA TGU SANTA MONICA,CENTRO - TEGUCIGALPA
KIELSA 017 , KIELSA SPS CITY MALL NIVEL I,NORTE - SAN PEDRO SULA
KIELSA 018 , KIELSA SPS CITY MALL NIVEL II,NORTE - SAN PEDRO SULA
KIELSA 019 , KIELSA SPS DIUNSA,NORTE - SAN PEDRO SULA
KIELSA 020 , KIELSA TGU CASCADAS NIVEL II,CENTRO - TEGUCIGALPA
KIELSA 021 , KIELSA TGU WALMART CASCADAS,CENTRO - TEGUCIGALPA
KIELSA 022 , KIELSA TGU PAYAQUI,CENTRO - TEGUCIGALPA
KIELSA 023 , KIELSA TGU BLVD. MORAZAN I,CENTRO - TEGUCIGALPA
KIELSA 024 , KIELSA SPS CAPITAL,NORTE - SAN PEDRO SULA
KIELSA 025 , KIELSA TGU TEPEYAC,CENTRO - TEGUCIGALPA
KIELSA 026 , KIELSA TGU BLVD. MORAZAN II,CENTRO - TEGUCIGALPA
KIELSA 027 , KIELSA TGU TONCONTIN,CENTRO - TEGUCIGALPA
KIELSA 028 , KIELSA TGU LA POLICLINICA,CENTRO - TEGUCIGALPA
KIELSA 029 , KIELSA TGU CENTRO,CENTRO - TEGUCIGALPA
KIELSA 030 , KIELSA SAN FRANCISCO DE LA PAZ,CENTRO - SAN FRANCISCO DE LA PAZ
KIELSA 031 , KIELSA TGU METRO MALL NIVEL I,CENTRO - TEGUCIGALPA
KIELSA 032 , KIELSA EL PROGRESO MEGAPLAZA,NORTE - EL PROGRESO
KIELSA 033 , KIELSA EL PROGRESO PLAZA OFIBODEGA REDMIL,NORTE - EL PROGRESO
KIELSA 034 , KIELSA SPS PLAZA UNO,NORTE - SAN PEDRO SULA
KIELSA 035 , KIELSA LA CEIBA SANTA MONICA,NORTE - LA CEIBA
KIELSA 036 , KIELSA CHOLOMA LAS AMERICAS,NORTE - CHOLOMA
KIELSA 037 , KIELSA SPS 3ERA AVENIDA,NORTE - SAN PEDRO SULA
KIELSA 039 , KIELSA TGU LA COLONIA #1BLVD. SUYAPA,CENTRO - TEGUCIGALPA
KIELSA 040 , KIELSA PTO. CORTES PLAZA RIO MAR,NORTE - PUERTO CORTES
KIELSA 041 , KIELSA TGU KENNEDY I,CENTRO - TEGUCIGALPA
KIELSA 042 , KIELSA VILLANUEVA BUFALO,NORTE - VILLANUEVA
KIELSA 043 , KIELSA COMAYAGUA PREMIER,CENTRO - COMAYAGUA
KIELSA 044 , KIELSA EL PROGRESO BO. SAN FRANCISCO,NORTE - EL PROGRESO
KIELSA 045 , KIELSA VILLANUEVA USULA,NORTE - VILLANUEVA
KIELSA 046 , KIELSA SPS SARITA,NORTE - SAN PEDRO SULA
KIELSA 047 , KIELSA VILLANUEVA METROPLAZA,NORTE - VILLANUEVA
KIELSA 048 , KIELSA TGU SAN CARLOS BLVD. MORAZAN,CENTRO - TEGUCIGALPA
KIELSA 049 , KIELSA SPS POLICLINICA,NORTE - SAN PEDRO SULA
KIELSA 050 , KIELSA SPS BELLA VISTA,NORTE - SAN PEDRO SULA
KIELSA 051 , KIELSA TOCOA METROPLAZA,NORTE - TOCOA
KIELSA 052 , KIELSA SPS GALERIAS DEL VALLE,NORTE - SAN PEDRO SULA
